,Year,Month,PE,Value,m_earnings,prev_m,EPS_growth,DATE,GS10,final_EPS_growth
185,2017,1,16.9870805,173.212,10.19669036,10.72070285,-0.4519355,31/01/2017,0.0242,-0.4761355
186,2017,2,18.40075111,168.3115789,9.146995032,10.19669036,-0.728462046,28/02/2017,0.0248,-0.753262046
187,2017,3,17.41884861,169.7230435,9.743643067,9.146995032,1.134592982,31/03/2017,0.023,1.111592982
188,2017,4,17.12177674,165.0631579,9.640539088,9.743643067,-0.119844429,30/04/2017,0.023,-0.142844429
189,2017,5,17.19769814,157.1272727,9.136529289,9.640539088,-0.47500016,31/05/2017,0.0219,-0.49690016
190,2017,6,17.26586695,158.0459091,9.153661934,9.136529289,0.022735703,30/06/2017,0.0232,-0.000464297
191,2017,7,16.2619008,152.1715,9.357546936,9.153661934,0.302584012,31/07/2017,0.0221,0.280484012
192,2017,8,16.12794378,159.056087,9.862142946,9.357546936,0.878068149,31/08/2017,0.022,0.856068149
193,2017,9,16.0900061,156.9525,9.754657582,9.862142946,-0.123223642,30/09/2017,0.0236,-0.146823642
194,2017,10,15.44591018,155.6781818,10.07892575,9.754657582,0.480562008,31/10/2017,0.0235,0.457062008
195,2017,11,14.99636343,146.3514286,9.759127889,10.07892575,-0.320857103,30/11/2017,0.024,-0.344857103
196,2017,12,16.68290325,162.848,9.761370522,9.759127889,0.002761069,31/12/2017,0.0258,-0.023038931
197,2018,1,17.0569943,162.9995238,9.556169214,9.761370522,-0.225045152,31/01/2018,0.0286,-0.253645152
198,2018,2,18.32779968,157.4352632,8.589970748,9.556169214,-0.721712152,28/02/2018,0.0284,-0.750112152
199,2018,3,16.27154665,153.6747619,9.444385664,8.589970748,2.120213709,31/03/2018,0.0287,2.091513709
200,2018,4,15.85963583,151.4957143,9.552282024,9.444385664,0.146043429,30/04/2018,0.0298,0.116243429
201,2018,5,15.03128315,145.3177273,9.667686107,9.552282024,0.155007646,31/05/2018,0.0291,0.125907646
202,2018,6,15.33007875,146.8495238,9.579176089,9.667686107,-0.104496295,30/06/2018,0.0289,-0.133396295
203,2018,7,15.65804124,148.6752381,9.49513645,9.579176089,-0.100343668,31/07/2018,0.0289,-0.129243668
204,2018,8,16.289176,154.2065217,9.466809232,9.49513645,-0.035218459,31/08/2018,0.03,-0.065218459
205,2018,9,19.85822056,157.5242105,7.932443397,9.466809232,-0.880204563,30/09/2018,0.0315,-0.911704563
206,2018,10,27.221497,153.1834783,5.627298097,7.932443397,-0.983755166,31/10/2018,0.0312,-1.014955166
207,2018,11,25.67402495,147.8114286,5.757236306,5.627298097,0.315132783,30/11/2018,0.0283,0.286832783
208,2018,12,24.60074142,141.7031579,5.760117367,5.757236306,0.006021647,31/12/2018,0.0271,-0.021078353
209,2019,1,25.41767905,146.7738095,5.774477255,5.760117367,0.03032944,31/01/2019,0.0268,0.00352944
210,2019,2,25.50635647,153.1394737,6.003972925,5.774477255,0.596292971,28/02/2019,0.0257,0.570592971
211,2019,3,26.0289981,157.5580952,6.053175564,6.003972925,0.102895949,31/03/2019,0.0253,0.077595949
212,2019,4,27.1984691,165.0147619,6.067060662,6.053175564,0.027876186,30/04/2019,0.024,0.003876186
213,2019,5,26.94713786,163.5109091,6.067839558,6.067060662,0.001541661,31/05/2019,0.0207,-0.019158339
214,2019,6,26.53250465,160.9085,6.064580111,6.067839558,-0.006427,30/06/2019,0.0206,-0.027027
215,2019,7,27.93734086,168.7218182,6.039294112,6.064580111,-0.0489019,31/07/2019,0.0163,-0.0652019
216,2019,8,27.97935414,164.8609091,5.892234263,6.039294112,-0.256080573,31/08/2019,0.017,-0.273080573
217,2019,9,28.9635026,169.729,5.860099255,5.892234263,-0.06351764,30/09/2019,0.0171,-0.08061764
218,2019,10,28.70230852,168.8356522,5.882302186,5.860099255,0.046425499,31/10/2019,0.0181,0.028325499
219,2019,11,29.98616935,176.083,5.872140517,5.882302186,-0.020534153,30/11/2019,0.0186,-0.039134153
220,2019,12,30.87718005,180.0690476,5.831784098,5.872140517,-0.079423309,31/12/2019,0.0176,-0.097023309
221,2020,1,32.07694048,187.1542857,5.834542913,5.831784098,0.005691576,31/01/2020,0.015,-0.009308424
222,2020,2,31.578454,186.1563158,5.8950421,5.834542913,0.131777019,29/02/2020,0.0087,0.123077019
223,2020,3,26.41117005,154.1531818,5.836666136,5.8950421,-0.11256758,31/03/2020,0.0066,-0.11916758
224,2020,4,27.23602876,159.4638095,5.854884753,5.836666136,0.038106685,30/04/2020,0.0067,0.031406685
225,2020,5,29.71035495,174.436,5.871218984,5.854884753,0.033996662,31/05/2020,0.0073,0.026696662
226,2020,6,31.15087632,182.7054545,5.865178645,5.871218984,-0.012276041,30/06/2020,0.0062,-0.018476041
227,2020,7,32.35446567,189.4609091,5.855788535,5.865178645,-0.019043646,31/07/2020,0.0065,-0.025543646
228,2020,8,35.1326977,199.7747619,5.686291546,5.855788535,-0.29704932,31/08/2020,0.0068,-0.30384932
229,2020,9,34.95148265,198.4280952,5.677244002,5.686291546,-0.018927174,30/09/2020,0.0079,-0.026827174
230,2020,10,35.48969736,198.8877273,5.604097585,5.677244002,-0.144110798,31/10/2020,0.0087,-0.152810798
231,2020,11,39.00213831,211.1155,5.412921166,5.604097585,-0.340655852,30/11/2020,0.0093,-0.349955852
232,2020,12,40.96431936,220.2409091,5.37640836,5.412921166,-0.078009284,31/12/2020,0.0108,-0.088809284
233,2021,1,40.84383079,220.1305263,5.389566112,5.37640836,0.029766291,31/01/2021,0.0126,0.017166291
234,2021,2,41.68534495,234.4752632,5.6248848,5.389566112,0.670005663,28/02/2021,0.0161,0.653905663
235,2021,3,41.8642841,238.3926087,5.694415032,5.6248848,0.158846245,31/03/2021,0.0164,0.142446245
236,2021,4,42.77413635,251.04,5.868967124,5.694415032,0.436649134,30/04/2021,0.0162,0.420449134
